Entity ID,Acquisition Date,Mission,Camera,Camera Resolution,Operations Number,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,area_kmsq,area_aea_kmsq,area_kmsq_equal_area
D3C1217-300949F029,1982/08/13,1217-3,F,2 to 4 feet,949,47.703,-99.817,47.959,-101.125,47.634,-98.457,47.446,-98.483,47.776,-101.199,,4296.143627470098,4303.797197354288
D3C1217-200605A012,1982/07/10,1217-2,A,2 to 4 feet,605,48.701,58.672,48.859,58.016,48.71,59.386,48.553,59.349,48.673,58.006,1525.87254916864,1931.239269442833,1930.031312013811
D3C1217-200415A010,1982/06/20,1217-2,A,2 to 4 feet,415,30.897,62.491,31.098,61.438,30.881,63.571,30.699,63.522,30.91,61.437,2274.6714859545746,4196.549052490682,4192.257444730991
D3C1212-300554F044,1976/09/13,1212-3,F,2 to 4 feet,554,27.081,119.218,27.413,117.58,26.968,120.9,26.746,120.9,27.2,117.5,,8209.75425654815,8229.319408407033
D3C1214-200647F035,1978/05/28,1214-2,F,2 to 4 feet,647,9.667,38.621,9.991,36.989,9.583,40.291,9.339,40.304,9.755,36.914,7878.110931162216,9893.92896790122,9903.064056792688
D3C1217-301145F011,1982/08/31,1217-3,F,2 to 4 feet,1145,33.151,-102.134,33.493,-103.966,33.038,-100.259,32.805,-100.254,33.27,-104.052,,9015.728050361922,9045.666464461989
D3C1208-300563A016,1974/06/17,1208-3,A,2 to 4 feet,563,44.93,27.296,45.107,25.952,44.939,28.555,44.738,28.467,44.956,25.943,5047.28743386895,4048.2617521297484,4040.8542536224095
D3C1217-100105F025,1982/05/23,1217-1,F,2 to 4 feet,105,21.519,93.501,21.735,92.552,21.49,94.481,21.303,94.474,21.551,92.505,,4221.036233407132,4223.831462893792
D3C1210-300473F004,1975/08/19,1210-3,F,2 to 4 feet,473,41.746,96.422,41.987,95.276,41.674,97.766,41.518,97.741,41.776,95.182,,4429.0490204693515,4435.733176676666
D3C1214-300824F006,1978/07/02,1214-3,F,2 to 4 feet,824,47.117,92.619,47.313,91.863,47.106,93.55,46.942,93.497,47.09,91.751,,2923.380155675888,2925.2906437121824
D3C1217-301115A006,1982/08/29,1217-3,A,2 to 4 feet,1115,60.357,51.689,60.65,49.851,60.249,53.612,60.069,53.483,60.458,49.82,5567.443722068268,4455.3107608167165,4439.73011595006
D3C1212-200324F006,1976/08/14,1212-2,F,2 to 4 feet,324,65.173,31.86,65.416,30.738,65.094,33.304,64.942,33.178,65.209,30.512,5475.31141897554,2720.815845862854,2723.37391042218
D3C1201-200088A073,1971/06/22,1201-2,A,2 to 4 feet,88,42.217,122.845,42.579,120.543,42.098,125.197,41.862,125.084,42.327,120.568,,10506.52954232803,10450.162457678227
D3C1217-100301F029,1982/06/08,1217-1,F,2 to 4 feet,301,32.735,67.487,32.96,66.444,32.694,68.566,32.508,68.554,32.778,66.391,1918.5470538804932,4184.074701489434,4188.433712381094
D3C1203-400614A003,1972/08/25,1203-4,A,2 to 4 feet,614,48.476,51.013,48.633,50.384,48.488,51.684,48.321,51.627,48.463,50.356,1739.124869369232,1831.7885566558593,1830.980131415746
D3C1217-200773F001,1982/07/25,1217-2,F,2 to 4 feet,773,64.795,143.218,65.136,141.193,64.629,145.476,64.452,145.384,64.941,141.017,,4601.759993673803,4616.1076296644005
D3C1208-300509A006,1974/06/12,1208-3,A,2 to 4 feet,509,54.114,51.345,54.276,50.442,54.133,52.336,53.977,52.32,54.058,50.479,2704.550457627182,2536.656329693914,2533.0835826051366
D3C1217-401495A005,1982/09/30,1217-4,A,2 to 4 feet,1495,44.798,74.263,44.949,73.616,44.822,74.928,44.638,74.86,44.788,73.583,777.5634886502838,2025.7632744021703,2025.0615520248562
D3C1206-300431A024,1973/08/26,1206-3,A,2 to 4 feet,431,32.036,-87.195,32.201,-87.809,32.051,-86.52,31.896,-86.53,31.984,-87.787,140.1083661306839,2473.8773625241715,2472.3513390381454
D3C1203-200180F010,1972/07/18,1203-2,F,2 to 4 feet,180,54.527,12.029,54.94,10.143,54.461,13.594,54.079,13.61,54.741,10.091,12298.156358298957,7333.080626407315,7381.167753602984
D3C1218-100255A045,1983/08/03,1218-1,A,2 to 4 feet,255,52.077,23.609,52.467,21.033,51.911,26.254,51.694,26.114,52.231,21.051,13557.284278464378,9203.301681240304,9136.934806861926
D3C1210-100062A025,1975/06/13,1210-1,A,2 to 4 feet,62,51.88,18.947,52.245,16.538,51.726,21.418,51.522,21.288,52.024,16.555,12254.130556954322,8099.4515444134495,8044.972563800924
D3C1210-300455A025,1975/08/15,1210-3,A,2 to 4 feet,455,38.815,100.103,39.027,98.853,38.797,101.28,38.591,101.19,38.872,98.838,,4294.724579938941,4288.419748201589
D3C1218-100309F002,1983/08/10,1218-1,F,2 to 4 feet,309,41.467,64.094,41.839,62.012,41.328,66.232,41.091,66.229,41.612,61.912,5507.099534402741,9393.469687325598,9435.125638388115
D3C1214-200646F009,1978/05/28,1214-2,F,2 to 4 feet,646,28.169,42.077,28.389,41.078,28.134,43.109,27.947,43.099,28.206,41.028,3556.8044595498045,4209.902677845003,4213.580906672967
D3C1217-100102F001,1982/05/23,1217-1,F,2 to 4 feet,102,32.386,118.304,32.616,117.197,32.354,119.367,32.146,119.363,32.448,117.154,,4359.087063098425,4364.732723499378
D3C1201-200151F018,1971/06/25,1201-2,F,2 to 4 feet,151,46.465,88.421,46.878,86.052,46.296,90.86,46.047,90.851,46.64,85.935,,10368.021639817467,10425.684437157755
D3C1217-200523A004,1982/06/30,1217-2,A,2 to 4 feet,523,44.563,-80.89,44.743,-81.72,44.583,-80.066,44.365,-80.177,44.58,-81.766,642.686201700058,2859.0945381700312,2857.309455919938
D3C1216-100021F004,1980/06/21,1216-1,F,2 to 4 feet,21,40.483,118.26,40.674,117.478,40.503,118.975,40.27,118.973,40.509,117.452,,2852.099174953285,2854.833554024321
D3C1214-200660F008,1978/05/29,1214-2,F,2 to 4 feet,660,43.961,5.17,44.152,4.466,43.953,6.038,43.791,5.989,43.931,4.362,3914.654752316791,2845.090501286586,2846.7239720269977
D3C1213-100067A010,1977/07/07,1213-1,A,2 to 4 feet,67,63.718,40.074,64.235,36.746,63.41,43.543,63.214,43.307,64.009,36.73,14411.958980238282,8430.195601331649,8328.093254305852
D3C1215-401149F003,1979/08/04,1215-4,F,2 to 4 feet,1149,41.477,89.656,41.739,88.283,41.432,90.914,41.199,90.913,41.575,88.238,,4948.013662335338,4959.6177414452595
D3C1216-200519A027,1980/08/20,1216-2,A,2 to 4 feet,519,65.02,175.204,65.474,172.237,64.772,178.419,64.577,178.223,65.224,172.231,,7544.258307731895,7467.3261300313625
D3C1203-300366F002,1972/08/05,1203-3,F,2 to 4 feet,366,42.361,100.453,42.568,99.628,42.372,101.212,42.133,101.202,42.399,99.597,,3017.3733055159937,3020.512438592712
D3C1210-100117F012,1975/06/21,1210-1,F,2 to 4 feet,117,63.325,41.383,63.826,38.186,63.04,44.722,62.818,44.657,63.617,37.99,14124.489419217896,8446.53281729999,8526.662268276994
D3C1217-301382F013,1982/09/18,1217-3,F,2 to 4 feet,1382,2.722,116.616,2.893,115.976,2.771,117.191,2.524,117.204,2.718,115.962,,3187.989962116759,3188.1635616918766
D3C1216-200469F017,1980/08/15,1216-2,F,2 to 4 feet,469,50.577,114.296,50.779,113.492,50.557,115.29,50.394,115.23,50.557,113.369,,2911.2060624004907,2913.2257089344366
D3C1203-200157F058,1972/07/17,1203-2,F,2 to 4 feet,157,26.713,105.428,27.295,102.284,26.476,108.65,26.119,108.709,26.962,102.107,,24993.234463429453,25205.921972498832
D3C1203-300365F008,1972/08/05,1203-3,F,2 to 4 feet,365,54.016,105.039,54.634,101.514,53.77,107.973,53.401,107.99,54.447,101.415,,13341.416909049565,13537.973909100563
D3C1216-200342F044,1980/07/31,1216-2,F,2 to 4 feet,342,17.688,52.995,17.905,52.055,17.66,53.965,17.47,53.958,17.718,52.009,2765.031713782669,4344.973381650037,4347.276582110444
D3C1215-300924F003,1979/07/07,1215-3,F,2 to 4 feet,924,37.241,-115.875,37.425,-116.518,37.243,-115.088,37.08,-115.128,37.203,-116.609,,2855.702100844607,2857.129774563244
D3C1210-200339A014,1975/07/26,1210-2,A,2 to 4 feet,339,56.977,32.064,57.186,31.018,56.964,33.12,56.755,32.953,57.029,30.945,4246.872370271126,2751.4778220133053,2748.901221297818
D3C1215-300793F010,1979/06/21,1215-3,F,2 to 4 feet,793,45.166,76.646,45.441,75.193,45.11,77.978,44.877,77.972,45.278,75.143,1606.9681161156616,4934.134118305625,4947.419971670464
D3C1217-200585F003,1982/07/08,1217-2,F,2 to 4 feet,585,58.025,53.736,58.365,51.807,57.91,55.527,57.675,55.489,58.202,51.723,5655.298587718338,5080.125148463195,5103.601269331759
D3C1219-200801F023,1984/09/18,1219-2,F,2 to 4 feet,801,29.106,49.627,29.489,47.599,28.987,51.698,28.718,51.705,29.232,47.506,8924.72845469049,11969.936613837814,12008.792448025773
D3C1215-401317F012,1979/08/29,1215-4,F,2 to 4 feet,1317,28.395,73.82,28.535,73.367,28.419,74.3,28.255,74.282,28.372,73.333,544.6489914177552,1703.603265557866,1703.902797432523
D3C1213-200236F006,1977/08/10,1213-2,F,2 to 4 feet,236,32.621,60.695,32.801,60.017,32.643,61.315,32.42,61.317,32.642,59.995,1530.5942666671754,2622.3663265663654,2624.213172935617
D3C1219-100328F004,1984/08/01,1219-1,F,2 to 4 feet,328,52.066,85.836,52.265,85.063,52.059,86.731,51.877,86.673,52.056,84.966,314.11268130351255,2629.647523272129,2630.883442745165
D3C1215-401192F008,1979/08/10,1215-4,F,2 to 4 feet,1192,37.313,49.593,37.56,48.45,37.247,50.933,37.081,50.91,37.335,48.358,4095.9913118843992,4994.56202816054,5001.528873220302
D3C1215-300793F039,1979/06/21,1215-3,F,2 to 4 feet,793,40.792,75.404,41.053,74.052,40.748,76.639,40.516,76.638,40.891,74.007,1619.4243282620391,4880.637933588854,4891.931066940574
D3C1218-200512A005,1983/09/11,1218-2,A,2 to 4 feet,512,44.08,109.427,44.428,107.221,43.958,111.684,43.739,111.574,44.193,107.242,,9114.399780744747,9066.059866856505
D3C1208-200364A006,1974/05/22,1208-2,A,2 to 4 feet,364,36.584,7.222,36.813,5.429,36.56,9.038,36.358,8.966,36.603,5.459,9016.018180939143,7356.5050524739345,7330.756048414284
D3C1208-400765A001,1974/07/23,1208-4,A,2 to 4 feet,765,29.789,114.79,29.946,113.83,29.8,115.82,29.647,115.79,29.755,113.85,,3633.3039131689793,3629.0767447895896
D3C1208-300568F021,1974/06/18,1208-3,F,2 to 4 feet,568,42.064,74.856,42.335,72.981,42.001,76.769,41.791,76.78,42.132,72.902,2602.2935555793306,7352.597139588391,7382.391462310934
D3C1217-301217A020,1982/09/06,1217-3,A,2 to 4 feet,1217,42.138,83.99,42.327,83.233,42.142,84.832,41.976,84.814,42.091,83.256,420.8317624142761,2912.700446952781,2909.653281943349
D3C1201-200125F018,1971/06/24,1201-2,F,2 to 4 feet,125,50.894,109.391,51.338,106.776,50.697,112.089,50.445,112.071,51.098,106.642,,10657.472082930348,10727.875922163452
D3C1210-400570F009,1975/09/06,1210-4,F,2 to 4 feet,570,2.142,43.806,2.451,42.247,2.065,45.4,1.829,45.413,2.223,42.176,6720.022575311401,9255.06274275737,9256.854380903691
D3C1215-300779A025,1979/06/19,1215-3,A,2 to 4 feet,779,44.369,109.64,44.521,109.029,44.385,110.299,44.227,110.268,44.335,109.024,,1935.3155964483137,1934.278713420004
D3C1206-300374A003,1973/08/19,1206-3,A,2 to 4 feet,374,49.052,38.001,49.24,37.172,49.05,38.924,48.888,38.901,49.011,37.194,3301.8903445971605,2752.3053795965407,2748.718809371413
D3C1212-300554F062,1976/09/13,1212-3,F,2 to 4 feet,554,24.472,118.663,24.799,117.06,24.362,120.31,24.14,120.32,24.585,116.98,,8219.766083690109,8239.485999248838
D3C1203-400475F004,1972/08/13,1203-4,F,2 to 4 feet,475,53.349,11.158,53.667,9.548,53.235,12.844,53.029,12.796,53.468,9.446,8522.4276645216,5217.358459756783,5229.641613184169
D3C1219-100096A014,1984/07/14,1219-1,A,2 to 4 feet,96,41.756,-7.506,41.925,-8.17,41.786,-6.805,41.589,-6.856,41.724,-8.192,3341.3439247371025,2529.642541051728,2528.6487268494034
